date,Aroon Up,Aroon Down
2004-09-17,100,0
2004-09-20,100,45
2004-09-21,95,40
2004-09-22,90,35
2004-09-23,100,30
2004-09-24,100,25
2004-09-27,95,20
2004-09-28,100,15
2004-09-29,100,10
2004-09-30,95,5
2004-10-01,90,0
2004-10-04,100,0
2004-10-05,100,0
2004-10-06,95,0
2004-10-07,100,0
2004-10-08,95,0
2004-10-11,90,0
2004-10-12,85,0
2004-10-13,100,0
2004-10-14,95,0
2004-10-15,100,0
2004-10-18,100,0
2004-10-19,100,5
2004-10-20,95,0
2004-10-21,90,0
2004-10-22,100,5
2004-10-25,100,0
2004-10-26,95,0
2004-10-27,90,0
2004-10-28,85,5
2004-10-29,100,0
2004-11-01,95,5
2004-11-02,90,0
2004-11-03,100,20
2004-11-04,95,15
2004-11-05,90,10
2004-11-08,85,5
2004-11-09,80,0
2004-11-10,75,5
2004-11-11,70,0
2004-11-12,65,15
2004-11-15,60,10
2004-11-16,55,5
2004-11-17,50,0
2004-11-18,45,0
2004-11-19,40,0
2004-11-22,35,100
2004-11-23,30,95
2004-11-24,25,90
2004-11-26,20,85
2004-11-29,15,80
2004-11-30,10,75
2004-12-01,5,70
2004-12-02,0,65
2004-12-03,0,60
2004-12-06,25,55
2004-12-07,20,50
2004-12-08,15,45
2004-12-09,10,40
2004-12-10,5,35
2004-12-13,0,30
2004-12-14,0,25
2004-12-15,45,20
2004-12-16,40,15
2004-12-17,35,10
2004-12-20,100,5
2004-12-21,95,0
2004-12-22,90,0
2004-12-23,100,50
2004-12-27,100,45
2004-12-28,100,40
2004-12-29,95,35
2004-12-30,100,30
2004-12-31,100,25
2005-01-03,100,20
2005-01-04,95,15
2005-01-05,90,10
2005-01-06,85,5
2005-01-07,80,0
2005-01-10,75,5
2005-01-11,70,0
2005-01-12,65,0
2005-01-13,60,5
2005-01-14,55,0
2005-01-18,100,0
2005-01-19,100,0
2005-01-20,95,5
2005-01-21,90,0
2005-01-24,85,100
2005-01-25,80,100
2005-01-26,75,95
2005-01-27,70,90
2005-01-28,65,85
2005-01-31,60,80
2005-02-01,55,75
2005-02-02,100,70
2005-02-03,95,65
2005-02-04,90,60
2005-02-07,85,55
2005-02-08,80,50
2005-02-09,75,45
2005-02-10,70,40
2005-02-11,65,35
2005-02-14,60,30
2005-02-15,55,25
2005-02-16,50,20
2005-02-17,45,15
2005-02-18,40,10
2005-02-22,35,5
2005-02-23,30,0
2005-02-24,25,0
2005-02-25,20,60
2005-02-28,15,55
2005-03-01,10,50
2005-03-02,5,45
2005-03-03,0,40
2005-03-04,0,35
2005-03-07,0,30
2005-03-08,0,25
2005-03-09,5,100
2005-03-10,0,100
2005-03-11,15,100
2005-03-14,10,100
2005-03-15,5,95
2005-03-16,0,90
2005-03-17,5,85
2005-03-18,0,80
2005-03-21,5,75
2005-03-22,0,70
2005-03-23,0,65
2005-03-24,5,60
2005-03-28,0,55
2005-03-29,0,50
2005-03-30,25,45
2005-03-31,20,40
2005-04-01,15,35
2005-04-04,10,30
2005-04-05,100,25
2005-04-06,95,20
2005-04-07,100,15
2005-04-08,100,10
2005-04-11,95,5
2005-04-12,90,0
2005-04-13,85,0
2005-04-14,80,0
2005-04-15,75,0
2005-04-18,70,5
2005-04-19,65,0
2005-04-20,100,30
2005-04-21,100,25
2005-04-22,100,20
2005-04-25,100,15
2005-04-26,95,10
2005-04-27,90,5
2005-04-28,85,0
2005-04-29,80,5
2005-05-02,75,0
2005-05-03,100,45
2005-05-04,100,40
2005-05-05,95,35
2005-05-06,90,30
2005-05-09,85,25
2005-05-10,80,20
2005-05-11,100,15
2005-05-12,100,10
2005-05-13,95,5
2005-05-16,90,0
2005-05-17,100,0
2005-05-18,100,0
2005-05-19,100,0
2005-05-20,100,0
2005-05-23,100,10
2005-05-24,100,5
2005-05-25,95,0
2005-05-26,90,0
2005-05-27,100,0
2005-05-31,100,0
2005-06-01,100,0
2005-06-02,95,20
2005-06-03,90,15
2005-06-06,100,10
2005-06-07,100,5
2005-06-08,95,0
2005-06-09,90,10
2005-06-10,85,5
2005-06-13,80,0
2005-06-14,75,0
2005-06-15,70,0
2005-06-16,65,0
2005-06-17,60,0
2005-06-20,55,0
2005-06-21,50,0
2005-06-22,45,5
2005-06-23,40,0
2005-06-24,35,0
2005-06-27,100,0
2005-06-28,100,55
2005-06-29,95,50
2005-06-30,90,45
2005-07-01,85,40
2005-07-05,80,35
2005-07-06,75,30
2005-07-07,70,25
2005-07-08,65,20
2005-07-11,60,15
2005-07-12,55,10
2005-07-13,50,5
2005-07-14,45,0
2005-07-15,40,10
2005-07-18,35,5
2005-07-19,100,0
2005-07-20,100,0
2005-07-21,100,5
2005-07-22,95,0
2005-07-25,90,40
2005-07-26,85,35
2005-07-27,80,30
2005-07-28,75,25
2005-07-29,70,100
2005-08-01,65,95
2005-08-02,60,90
2005-08-03,55,85
2005-08-04,50,80
2005-08-05,45,75
2005-08-08,40,70
2005-08-09,35,65
2005-08-10,30,100
2005-08-11,25,100
2005-08-12,20,95
2005-08-15,15,90
2005-08-16,10,85
2005-08-17,5,80
2005-08-18,0,100
2005-08-19,0,95
2005-08-22,0,100
2005-08-23,30,95
2005-08-24,25,90
2005-08-25,20,85
2005-08-26,15,80
2005-08-29,10,75
2005-08-30,5,70
2005-08-31,0,65
2005-09-01,0,60
2005-09-02,0,55
2005-09-06,0,50
2005-09-07,100,45
2005-09-08,100,40
2005-09-09,95,35
2005-09-12,100,30
2005-09-13,100,25
2005-09-14,95,20
2005-09-15,90,15
2005-09-16,85,10
2005-09-19,80,5
2005-09-20,75,0
2005-09-21,70,0
2005-09-22,100,0
2005-09-23,95,0
2005-09-26,100,5
2005-09-27,95,0
2005-09-28,90,5
2005-09-29,85,0
2005-09-30,80,0
2005-10-03,75,10
2005-10-04,100,5
2005-10-05,95,0
2005-10-06,90,0
2005-10-07,85,0
2005-10-10,80,15
2005-10-11,75,10
2005-10-12,70,5
2005-10-13,65,100
2005-10-14,60,95
2005-10-17,55,90
2005-10-18,50,85
2005-10-19,45,80
2005-10-20,40,75
2005-10-21,100,70
2005-10-24,100,65
2005-10-25,95,60
2005-10-26,100,55
2005-10-27,100,50
2005-10-28,100,45
2005-10-31,100,40
2005-11-01,100,35
2005-11-02,100,30
2005-11-03,100,25
