date,EMA
2004-09-16,52.8031
2004-09-17,53.3863
2004-09-20,54.0033
2004-09-21,54.489
2004-09-22,54.9541
2004-09-23,55.4916
2004-09-24,55.9305
2004-09-27,56.2527
2004-09-28,56.9549
2004-09-29,57.7919
2004-09-30,58.4784
2004-10-01,59.2419
2004-10-04,60.0512
2004-10-05,60.9415
2004-10-06,61.6854
2004-10-07,62.4429
2004-10-08,63.0749
2004-10-11,63.5286
2004-10-12,64.0414
2004-10-13,64.6725
2004-10-14,65.2961
2004-10-15,65.961
2004-10-18,66.8039
2004-10-19,67.5082
2004-10-20,67.7896
2004-10-21,68.4688
2004-10-22,70.1843
2004-10-25,72.4515
2004-10-26,74.2353
2004-10-27,76.0484
2004-10-28,78.039
2004-10-29,79.7129
2004-11-01,81.4849
2004-11-02,83.0327
2004-11-03,84.2802
2004-11-04,85.076
2004-11-05,85.0628
2004-11-08,85.2037
2004-11-09,85.1472
2004-11-10,85.0561
2004-11-11,85.6977
2004-11-12,86.2295
2004-11-15,86.8478
2004-11-16,86.8184
2004-11-17,86.7897
2004-11-18,86.5268
2004-11-19,86.3778
2004-11-22,86.0376
2004-11-23,85.8454
2004-11-24,86.0173
2004-11-26,86.394
2004-11-29,86.8142
2004-11-30,87.2387
2004-12-01,87.5263
2004-12-02,87.7598
2004-12-03,88.0188
2004-12-06,88.0568
2004-12-07,87.859
2004-12-08,87.6109
2004-12-09,87.5511
2004-12-10,87.412
2004-12-13,87.2289
2004-12-14,87.4568
2004-12-15,87.715
2004-12-16,87.7905
2004-12-17,88.0313
2004-12-20,88.4852
2004-12-21,88.8351
2004-12-22,89.2735
2004-12-23,89.7466
2004-12-27,90.3662
2004-12-28,90.9673
2004-12-29,91.5179
2004-12-30,92.2406
2004-12-31,92.6647
2005-01-03,93.5222
2005-01-04,93.9059
2005-01-05,94.2058
2005-01-06,94.2402
2005-01-07,94.5245
2005-01-10,94.8395
2005-01-11,95.0519
2005-01-12,95.3319
2005-01-13,95.5829
2005-01-14,96.0317
2005-01-18,96.6254
2005-01-19,96.8473
2005-01-20,96.8866
2005-01-21,96.6528
2005-01-24,96.0801
2005-01-25,95.39
2005-01-26,95.3446
2005-01-27,95.2481
2005-01-28,95.2687
2005-01-31,95.5396
2005-02-01,95.607
2005-02-02,96.3395
2005-02-03,97.2364
2005-02-04,97.7373
2005-02-07,97.7927
2005-02-08,97.9674
2005-02-09,97.7883
2005-02-10,97.4543
2005-02-11,97.1244
2005-02-14,97.0929
2005-02-15,97.1714
2005-02-16,97.3943
2005-02-17,97.5717
2005-02-18,97.7345
2005-02-22,97.5675
2005-02-23,97.5397
2005-02-24,97.2728
2005-02-25,96.8871
2005-02-28,96.6394
2005-03-01,96.3231
2005-03-02,95.9948
2005-03-03,95.785
2005-03-04,95.5425
2005-03-07,95.462
2005-03-08,95.2167
2005-03-09,94.8109
2005-03-10,94.3783
2005-03-11,93.8828
2005-03-14,93.3002
2005-03-15,92.9461
2005-03-16,92.4819
2005-03-17,92.2381
2005-03-18,92.0534
2005-03-21,91.9264
2005-03-22,91.7026
2005-03-23,91.5183
2005-03-24,91.3644
2005-03-28,91.3288
2005-03-29,91.2083
2005-03-30,91.1412
2005-03-31,91.0835
2005-04-01,91.0087
2005-04-04,91.1919
2005-04-05,91.5143
2005-04-06,91.837
2005-04-07,92.3459
2005-04-08,92.7246
2005-04-11,93.1236
2005-04-12,93.5192
2005-04-13,93.8282
2005-04-14,94.0371
2005-04-15,93.918
2005-04-18,93.9043
2005-04-19,94.1036
2005-04-20,94.6039
2005-04-21,95.3742
2005-04-22,96.5994
2005-04-25,98.0767
