date,OBV
2004-08-19,44659000.0
2004-08-20,67493300.0
2004-08-23,85749400.0
2004-08-24,70502100.0
2004-08-25,79690700.0
2004-08-26,86785500.0
2004-08-27,80573800.0
2004-08-30,75377100.0
2004-08-31,80294900.0
2004-09-01,71156700.0
2004-09-02,86275300.0
2004-09-03,81122900.0
2004-09-07,86970400.0
2004-09-08,91956000.0
2004-09-09,96017700.0
2004-09-10,104716500.0
2004-09-13,112560600.0
2004-09-14,123389500.0
2004-09-15,134102500.0
2004-09-16,143368800.0
2004-09-17,152841300.0
2004-09-20,163470000.0
2004-09-21,156241300.0
2004-09-22,163822500.0
2004-09-23,172358100.0
2004-09-24,163234700.0
2004-09-27,156168600.0
2004-09-28,173097600.0
2004-09-29,203614000.0
2004-09-30,189856000.0
2004-10-01,204980800.0
2004-10-04,218003500.0
2004-10-05,232976700.0
2004-10-06,219595300.0
2004-10-07,233710300.0
2004-10-08,222640800.0
2004-10-11,212168700.0
2004-10-12,223834200.0
2004-10-13,243600400.0
2004-10-14,254042500.0
2004-10-15,267237200.0
2004-10-18,281273500.0
2004-10-19,263163700.0
2004-10-20,240441100.0
2004-10-21,269590900.0
2004-10-22,343300900.0
2004-10-25,408763700.0
2004-10-26,364194200.0
2004-10-27,390880400.0
2004-10-28,420544300.0
2004-10-29,378261700.0
2004-11-01,402687000.0
2004-11-02,380017100.0
2004-11-03,352267500.0
2004-11-04,323477200.0
2004-11-05,283850700.0
2004-11-08,306211900.0
2004-11-09,284105700.0
2004-11-10,262839000.0
2004-11-11,292780000.0
2004-11-12,259321300.0
2004-11-15,283100400.0
2004-11-16,241307500.0
2004-11-17,205078000.0
2004-11-18,171852100.0
2004-11-19,189373100.0
2004-11-22,164661500.0
2004-11-23,189463200.0
2004-11-24,219994600.0
2004-11-26,232941800.0
2004-11-29,254253600.0
2004-11-30,269638200.0
2004-12-01,253925800.0
2004-12-02,241416600.0
2004-12-03,253143200.0
2004-12-06,240647800.0
2004-12-07,226919800.0
2004-12-08,211851300.0
2004-12-09,227143900.0
2004-12-10,218518200.0
2004-12-13,208890700.0
2004-12-14,231045300.0
2004-12-15,253964300.0
2004-12-16,236835900.0
2004-12-17,251593500.0
2004-12-20,271242800.0
2004-12-21,260221300.0
2004-12-22,268027400.0
