date,SMA
2004-09-16,52.8031
2004-09-17,53.2333
2004-09-20,53.5104
2004-09-21,53.7221
2004-09-22,54.0609
2004-09-23,54.4325
2004-09-24,54.7315
2004-09-27,55.0351
2004-09-28,55.6583
2004-09-29,56.3783
2004-09-30,57.1143
2004-10-01,57.8935
2004-10-04,58.7724
2004-10-05,59.695
2004-10-06,60.5672
2004-10-07,61.4835
2004-10-08,62.2961
2004-10-11,62.9922
2004-10-12,63.642
2004-10-13,64.3667
2004-10-14,65.0696
2004-10-15,65.7372
2004-10-18,66.4845
2004-10-19,67.2393
2004-10-20,67.7938
2004-10-21,68.51
2004-10-22,69.8291
2004-10-25,71.5629
2004-10-26,72.9407
2004-10-27,74.3172
2004-10-28,75.9146
2004-10-29,77.3706
2004-11-01,78.8996
2004-11-02,80.3164
2004-11-03,81.6854
2004-11-04,82.8352
2004-11-05,83.6282
2004-11-08,84.5633
2004-11-09,85.3482
2004-11-10,86.0243
2004-11-11,87.053
2004-11-12,88.0032
2004-11-15,88.8987
2004-11-16,89.5157
2004-11-17,90.3184
2004-11-18,90.7738
2004-11-19,90.6979
2004-11-22,90.1386
2004-11-23,89.7805
2004-11-24,89.4994
2004-11-26,89.1506
2004-11-29,88.9101
2004-11-30,88.5577
2004-12-01,88.1838
2004-12-02,87.8761
2004-12-03,87.7683
2004-12-06,87.9423
2004-12-07,87.9143
2004-12-08,87.9464
2004-12-09,88.086
2004-12-10,87.8009
2004-12-13,87.5113
2004-12-14,87.3563
2004-12-15,87.5377
2004-12-16,87.6373
2004-12-17,87.9517
2004-12-20,88.3435
2004-12-21,88.8112
2004-12-22,89.2821
2004-12-23,89.6116
2004-12-27,89.9256
2004-12-28,90.2192
2004-12-29,90.4931
2004-12-30,90.9355
2004-12-31,91.2712
2005-01-03,91.8307
2005-01-04,92.2874
2005-01-05,92.8411
2005-01-06,93.3068
2005-01-07,93.8189
2005-01-10,94.4059
2005-01-11,94.985
2005-01-12,95.4035
2005-01-13,95.7935
2005-01-14,96.3828
2005-01-18,96.9801
2005-01-19,97.2881
2005-01-20,97.5431
2005-01-21,97.5928
2005-01-24,97.4127
2005-01-25,97.0418
2005-01-26,96.9535
2005-01-27,96.8327
2005-01-28,96.6506
2005-01-31,96.7216
2005-02-01,96.4505
2005-02-02,96.7379
2005-02-03,97.173
2005-02-04,97.5694
2005-02-07,97.6241
2005-02-08,97.7139
2005-02-09,97.6647
2005-02-10,97.4792
2005-02-11,97.2803
2005-02-14,97.1053
2005-02-15,96.8878
2005-02-16,96.9157
2005-02-17,97.0155
2005-02-18,97.258
2005-02-22,97.5251
2005-02-23,97.9471
2005-02-24,97.9383
2005-02-25,97.8829
2005-02-28,97.824
2005-03-01,97.5842
2005-03-02,97.4157
2005-03-03,96.9404
2005-03-04,96.3144
2005-03-07,95.9245
2005-03-08,95.6529
2005-03-09,95.2193
2005-03-10,94.9284
2005-03-11,94.6731
2005-03-14,94.3619
2005-03-15,94.0013
2005-03-16,93.509
2005-03-17,93.0295
2005-03-18,92.5817
2005-03-21,92.1536
2005-03-22,91.8334
2005-03-23,91.4579
2005-03-24,91.2162
2005-03-28,91.1046
2005-03-29,90.8935
2005-03-30,90.7528
2005-03-31,90.6357
2005-04-01,90.461
