date,ADX
2004-10-14,48.9315
2004-10-15,48.9329
2004-10-18,49.1446
2004-10-19,49.5092
2004-10-20,48.6739
2004-10-21,47.9571
2004-10-22,48.5501
2004-10-25,49.4396
2004-10-26,50.2847
2004-10-27,51.0876
2004-10-28,51.9525
2004-10-29,52.8818
2004-11-01,53.7646
2004-11-02,54.6341
2004-11-03,55.1613
2004-11-04,54.8769
2004-11-05,53.3604
2004-11-08,51.9197
2004-11-09,50.2457
2004-11-10,48.6554
2004-11-11,47.6695
2004-11-12,46.9746
2004-11-15,46.3145
2004-11-16,45.0867
2004-11-17,43.7901
2004-11-18,42.328
2004-11-19,40.939
2004-11-22,39.2535
2004-11-23,37.7307
2004-11-24,36.642
2004-11-26,35.7559
2004-11-29,35.0642
2004-11-30,34.4096
2004-12-01,33.7284
2004-12-02,32.9942
2004-12-03,32.2122
2004-12-06,31.3268
2004-12-07,30.0205
2004-12-08,28.6339
2004-12-09,27.2954
2004-12-10,26.1349
2004-12-13,24.8722
2004-12-14,24.1204
2004-12-15,23.544
2004-12-16,22.9285
2004-12-17,22.3446
2004-12-20,22.3684
2004-12-21,22.391
2004-12-22,22.3693
2004-12-23,22.4741
2004-12-27,22.8881
2004-12-28,23.2974
2004-12-29,23.6863
2004-12-30,24.3601
2004-12-31,25.0994
2005-01-03,26.0156
2005-01-04,26.617
2005-01-05,27.0204
2005-01-06,26.8339
2005-01-07,26.6568
2005-01-10,26.7727
2005-01-11,26.8828
2005-01-12,26.6388
2005-01-13,26.5243
2005-01-14,26.6188
2005-01-18,27.0579
2005-01-19,27.2147
2005-01-20,26.7839
2005-01-21,25.9496
2005-01-24,24.8724
2005-01-25,24.1685
2005-01-26,23.0367
2005-01-27,21.9615
2005-01-28,21.3893
2005-01-31,20.9646
2005-02-01,21.0435
2005-02-02,21.7797
2005-02-03,22.479
2005-02-04,22.8416
2005-02-07,22.5783
2005-02-08,22.2491
2005-02-09,21.5406
2005-02-10,20.5634
2005-02-11,19.6426
2005-02-14,18.9094
2005-02-15,18.1831
2005-02-16,17.4931
2005-02-17,16.8668
2005-02-18,16.2598
2005-02-22,15.6895
2005-02-23,15.2709
2005-02-24,15.2994
2005-02-25,15.3204
2005-02-28,15.3403
2005-03-01,15.3912
2005-03-02,15.5133
2005-03-03,15.6208
2005-03-04,15.7229
2005-03-07,15.5569
2005-03-08,15.5727
2005-03-09,15.961
2005-03-10,16.5249
2005-03-11,17.0781
2005-03-14,17.912
2005-03-15,18.5011
2005-03-16,19.0608
2005-03-17,19.455
2005-03-18,19.7267
2005-03-21,19.7463
2005-03-22,19.7649
2005-03-23,19.7825
2005-03-24,19.7071
2005-03-28,19.0842
2005-03-29,18.8028
2005-03-30,18.5354
2005-03-31,18.4893
2005-04-01,18.218
2005-04-04,17.6308
2005-04-05,17.0289
2005-04-06,16.4572
2005-04-07,16.4435
2005-04-08,16.4778
2005-04-11,16.5103
2005-04-12,16.1289
2005-04-13,15.7665
2005-04-14,15.4272
2005-04-15,14.9314
2005-04-18,14.5985
2005-04-19,13.984
2005-04-20,14.2555
2005-04-21,14.8716
2005-04-22,16.4966
2005-04-25,18.0706
2005-04-26,19.5658
2005-04-27,20.7944
2005-04-28,22.0207
2005-04-29,23.1941
2005-05-02,24.3822
2005-05-03,25.7227
2005-05-04,27.0735
2005-05-05,28.1956
2005-05-06,29.2928
2005-05-09,30.1774
2005-05-10,30.9084
2005-05-11,31.8358
2005-05-12,32.7303
2005-05-13,33.4362
2005-05-16,34.1387
2005-05-17,34.9162
2005-05-18,35.9964
2005-05-19,37.0783
2005-05-20,38.1296
2005-05-23,39.7102
2005-05-24,41.3866
2005-05-25,42.5859
2005-05-26,43.8019
2005-05-27,45.0182
2005-05-31,46.45
2005-06-01,48.0424
2005-06-02,49.5552
2005-06-03,50.2045
2005-06-06,50.9232
2005-06-07,51.7299
2005-06-08,51.3749
2005-06-09,51.0375
2005-06-10,50.6702
2005-06-13,50.0166
2005-06-14,49.3957
2005-06-15,47.9688
2005-06-16,46.6618
2005-06-17,45.5185
2005-06-20,44.7711
2005-06-21,44.1732
2005-06-22,43.6908
2005-06-23,43.3371
2005-06-24,43.1321
2005-06-27,43.1839
2005-06-28,43.3986
2005-06-29,42.7618
2005-06-30,42.0697
2005-07-01,41.267
2005-07-05,40.5045
2005-07-06,39.8604
2005-07-07,39.0002
2005-07-08,38.2746
2005-07-11,37.3202
2005-07-12,36.4057
2005-07-13,35.8202
2005-07-14,35.6503
2005-07-15,35.4613
2005-07-18,35.0861
2005-07-19,35.1442
2005-07-20,35.2994
2005-07-21,35.6647
2005-07-22,34.7604
2005-07-25,33.803
2005-07-26,32.6879
2005-07-27,31.6418
2005-07-28,30.648
2005-07-29,29.2394
2005-08-01,27.9013
2005-08-02,27.0845
2005-08-03,26.3209
2005-08-04,25.5669
2005-08-05,24.5331
2005-08-08,23.4863
2005-08-09,22.3342
2005-08-10,21.4739
2005-08-11,20.9608
2005-08-12,20.1717
2005-08-15,19.2171
2005-08-16,18.344
2005-08-17,17.5145
2005-08-18,17.397
2005-08-19,17.1993
2005-08-22,17.4184
2005-08-23,17.6266
2005-08-24,17.3572
2005-08-25,17.1013
2005-08-26,16.7625
2005-08-29,16.0697
2005-08-30,15.3771
2005-08-31,14.8497
2005-09-01,14.3486
2005-09-02,13.6321
2005-09-06,12.9514
2005-09-07,12.863
2005-09-08,13.0801
2005-09-09,13.2864
2005-09-12,14.2966
2005-09-13,15.4711
2005-09-14,15.9769
2005-09-15,16.228
2005-09-16,16.4664
2005-09-19,16.7909
2005-09-20,17.4244
2005-09-21,18.1659
2005-09-22,19.1573
2005-09-23,20.099
2005-09-26,21.181
2005-09-27,22.2089
2005-09-28,22.3192
2005-09-29,22.4241
2005-09-30,22.9226
2005-10-03,23.5348
2005-10-04,23.8947
2005-10-05,23.9483
2005-10-06,23.9992
2005-10-07,24.1886
2005-10-10,24.212
2005-10-11,23.7746
2005-10-12,22.8056
2005-10-13,22.0994
2005-10-14,21.4284
2005-10-17,20.3748
2005-10-18,19.5533
2005-10-19,18.9183
2005-10-20,18.0807
2005-10-21,19.1054
2005-10-24,20.1738
2005-10-25,21.1887
2005-10-26,22.4295
2005-10-27,23.6414
2005-10-28,24.8501
2005-10-31,26.4196
2005-11-01,28.1066
2005-11-02,29.7317
2005-11-03,31.3083
2005-11-04,32.912
2005-11-07,34.5436
2005-11-08,35.7824
2005-11-09,36.1251
2005-11-10,36.5395
2005-11-11,37.0884
2005-11-14,37.6461
2005-11-15,38.1289
2005-11-16,38.6424
2005-11-17,39.2735
2005-11-18,39.8928
2005-11-21,39.9307
2005-11-22,40.2068
2005-11-23,40.6854
2005-11-25,41.2491
2005-11-28,41.5459
2005-11-29,40.4288
2005-11-30,39.0045
2005-12-01,37.9321
2005-12-02,37.0692
2005-12-05,35.7351
2005-12-06,34.3375
2005-12-07,32.8738
2005-12-08,31.6615
2005-12-09,30.7328
2005-12-12,29.8506
2005-12-13,29.1367
2005-12-14,28.5359
2005-12-15,28.1168
2005-12-16,28.1005
2005-12-19,28.5491
2005-12-20,28.9753
2005-12-21,29.5254
2005-12-22,30.048
2005-12-23,30.5445
2005-12-27,30.561
2005-12-28,30.4668
2005-12-29,30.2229
2005-12-30,29.6042
2006-01-03,29.7253
2006-01-04,30.2532
2006-01-05,30.8273
2006-01-06,31.8322
2006-01-09,32.8477
2006-01-10,33.8123
2006-01-11,34.834
2006-01-12,35.2788
2006-01-13,35.7013
2006-01-17,36.1837
2006-01-18,35.4616
2006-01-19,34.2686
2006-01-20,33.3512
2006-01-23,32.4798
2006-01-24,31.0388
2006-01-25,29.6082
2006-01-26,28.1925
2006-01-27,26.8477
2006-01-30,25.7059
2006-01-31,24.4488
2006-02-01,24.258
2006-02-02,23.916
2006-02-03,24.1172
2006-02-06,24.3082
2006-02-07,24.8107
2006-02-08,25.4447
2006-02-09,25.9024
2006-02-10,26.3941
2006-02-13,27.0701
2006-02-14,27.6662
2006-02-15,28.3186
2006-02-16,28.093
2006-02-17,27.6928
2006-02-21,27.2614
2006-02-22,26.8838
2006-02-23,26.0696
2006-02-24,25.296
2006-02-27,24.1525
2006-02-28,24.1316
2006-03-01,24.1116
2006-03-02,23.7016
2006-03-03,23.1157
2006-03-06,22.7689
2006-03-07,22.648
2006-03-08,22.7021
2006-03-09,22.9457
2006-03-10,23.3769
2006-03-13,23.7257
2006-03-14,23.8175
2006-03-15,23.9047
2006-03-16,24.05
2006-03-17,24.2597
2006-03-20,24.1093
2006-03-21,24.0323
2006-03-22,24.0023
2006-03-23,23.899
2006-03-24,22.8347
2006-03-27,21.7673
2006-03-28,20.8179
2006-03-29,20.5577
2006-03-30,20.3105
2006-03-31,20.0757
2006-04-03,19.871
2006-04-04,20.0406
2006-04-05,20.4559
2006-04-06,20.8505
2006-04-07,21.1574
2006-04-10,21.5696
2006-04-11,22.0151
2006-04-12,22.3827
2006-04-13,22.4782
2006-04-17,22.6581
2006-04-18,22.829
2006-04-19,23.1208
2006-04-20,24.0555
2006-04-21,25.2414
2006-04-24,26.3679
2006-04-25,26.8472
2006-04-26,27.1707
2006-04-27,27.2576
2006-04-28,27.1769
2006-05-01,26.266
2006-05-02,24.9975
