date,MACD,MACD_Signal,MACD_Hist
2004-10-06,4.3825,3.5247,0.8578
2004-10-07,4.4905,3.7178,0.7727
2004-10-08,4.4791,3.8701,0.609
2004-10-11,4.3203,3.9601,0.3602
2004-10-12,4.2323,4.0146,0.2177
2004-10-13,4.2551,4.0627,0.1924
2004-10-14,4.2685,4.1038,0.1647
2004-10-15,4.3148,4.146,0.1688
2004-10-18,4.5039,4.2176,0.2863
2004-10-19,4.552,4.2845,0.2675
2004-10-20,4.2397,4.2755,-0.0358
2004-10-21,4.3024,4.2809,0.0215
2004-10-22,5.2247,4.4697,0.755
2004-10-25,6.4867,4.8731,1.6136
2004-10-26,7.1775,5.3339,1.8435
2004-10-27,7.8037,5.8279,1.9758
2004-10-28,8.4987,6.3621,2.1366
2004-10-29,8.8399,6.8576,1.9823
2004-11-01,9.2222,7.3305,1.8916
2004-11-02,9.3702,7.7385,1.6317
2004-11-03,9.2513,8.041,1.2103
2004-11-04,8.7739,8.1876,0.5863
2004-11-05,7.6857,8.0872,-0.4015
2004-11-08,6.8736,7.8445,-0.9709
2004-11-09,6.0049,7.4766,-1.4717
2004-11-10,5.2223,7.0257,-1.8034
2004-11-11,5.1562,6.6518,-1.4956
2004-11-12,5.0048,6.3224,-1.3176
2004-11-15,4.944,6.0467,-1.1027
2004-11-16,4.3469,5.7068,-1.3599
2004-11-17,3.8278,5.331,-1.5032
2004-11-18,3.179,4.9006,-1.7216
2004-11-19,2.7088,4.4622,-1.7534
2004-11-22,2.1376,3.9973,-1.8597
2004-11-23,1.7625,3.5503,-1.7879
2004-11-24,1.7382,3.1879,-1.4497
2004-11-26,1.8846,2.9272,-1.0427
2004-11-29,2.0442,2.7506,-0.7064
2004-11-30,2.1832,2.6371,-0.4539
2004-12-01,2.1864,2.547,-0.3606
2004-12-02,2.1416,2.4659,-0.3243
2004-12-03,2.1221,2.3971,-0.2751
2004-12-06,1.9182,2.3013,-0.3832
2004-12-07,1.5421,2.1495,-0.6074
2004-12-08,1.1719,1.954,-0.7821
2004-12-09,1.0065,1.7645,-0.758
2004-12-10,0.7942,1.5704,-0.7762
2004-12-13,0.5709,1.3705,-0.7996
2004-12-14,0.719,1.2402,-0.5212
2004-12-15,0.8705,1.1663,-0.2957
2004-12-16,0.8469,1.1024,-0.2555
2004-12-17,0.9631,1.0746,-0.1114
2004-12-20,1.2409,1.1078,0.1331
2004-12-21,1.3936,1.165,0.2286
2004-12-22,1.5993,1.2518,0.3475
2004-12-23,1.8063,1.3627,0.4436
2004-12-27,2.1083,1.5118,0.5965
2004-12-28,2.3549,1.6805,0.6745
2004-12-29,2.5269,1.8498,0.6772
2004-12-30,2.8209,2.044,0.7769
2004-12-31,2.8266,2.2005,0.6261
2005-01-03,3.1958,2.3996,0.7962
2005-01-04,3.1202,2.5437,0.5765
2005-01-05,2.9857,2.6321,0.3536
2005-01-06,2.6479,2.6353,0.0127
2005-01-07,2.5651,2.6212,-0.0561
2005-01-10,2.5194,2.6009,-0.0814
2005-01-11,2.3941,2.5595,-0.1654
2005-01-12,2.3423,2.5161,-0.1738
2005-01-13,2.273,2.4675,-0.1945
2005-01-14,2.3784,2.4496,-0.0712
2005-01-18,2.5911,2.4779,0.1132
2005-01-19,2.4642,2.4752,-0.011
2005-01-20,2.2015,2.4205,-0.219
2005-01-21,1.7449,2.2853,-0.5405
2005-01-24,1.0648,2.0412,-0.9764
2005-01-25,0.3758,1.7081,-1.3324
2005-01-26,0.3166,1.4298,-1.1132
2005-01-27,0.2202,1.1879,-0.9677
2005-01-28,0.2326,0.9968,-0.7642
2005-01-31,0.4509,0.8877,-0.4367
2005-02-01,0.468,0.8037,-0.3357
2005-02-02,1.0385,0.8507,0.1879
2005-02-03,1.6698,1.0145,0.6553
2005-02-04,1.8853,1.1887,0.6966
2005-02-07,1.6993,1.2908,0.4085
2005-02-08,1.6387,1.3604,0.2783
2005-02-09,1.29,1.3463,-0.0563
2005-02-10,0.8582,1.2487,-0.3905
2005-02-11,0.4868,1.0963,-0.6095
2005-02-14,0.414,0.9598,-0.5459
2005-02-15,0.4418,0.8562,-0.4144
2005-02-16,0.5858,0.8021,-0.2163
2005-02-17,0.6715,0.776,-0.1045
2005-02-18,0.7331,0.7674,-0.0344
2005-02-22,0.5096,0.7159,-0.2062
2005-02-23,0.432,0.6591,-0.2271
2005-02-24,0.1638,0.56,-0.3962
2005-02-25,-0.169,0.4142,-0.5832
2005-02-28,-0.343,0.2628,-0.6058
2005-03-01,-0.5526,0.0997,-0.6523
2005-03-02,-0.7458,-0.0694,-0.6764
2005-03-03,-0.8156,-0.2186,-0.597
2005-03-04,-0.9052,-0.356,-0.5493
2005-03-07,-0.8487,-0.4545,-0.3942
2005-03-08,-0.9392,-0.5514,-0.3877
2005-03-09,-1.1534,-0.6718,-0.4816
2005-03-10,-1.3629,-0.81,-0.5528
2005-03-11,-1.5987,-0.9678,-0.6309
2005-03-14,-1.8777,-1.1498,-0.7279
2005-03-15,-1.93,-1.3058,-0.6242
2005-03-16,-2.0695,-1.4585,-0.6109
2005-03-17,-2.0075,-1.5683,-0.4392
2005-03-18,-1.9061,-1.6359,-0.2702
2005-03-21,-1.7712,-1.6629,-0.1083
2005-03-22,-1.7367,-1.6777,-0.059
2005-03-23,-1.6746,-1.6771,0.0025
2005-03-24,-1.5961,-1.6609,0.0648
2005-03-28,-1.4295,-1.6146,0.1851
2005-03-29,-1.3568,-1.563,0.2063
2005-03-30,-1.2491,-1.5002,0.2511
2005-03-31,-1.1481,-1.4298,0.2817
2005-04-01,-1.0747,-1.3588,0.2841
2005-04-04,-0.7949,-1.246,0.4511
2005-04-05,-0.4354,-1.0839,0.6485
2005-04-06,-0.1228,-0.8917,0.7689
2005-04-07,0.3052,-0.6523,0.9575
2005-04-08,0.5687,-0.4081,0.9768
2005-04-11,0.8158,-0.1633,0.9791
2005-04-12,1.0291,0.0752,0.9539
2005-04-13,1.1435,0.2888,0.8547
2005-04-14,1.1609,0.4632,0.6976
2005-04-15,0.9032,0.5512,0.352
2005-04-18,0.7698,0.5949,0.1749
2005-04-19,0.8338,0.6427,0.1911
2005-04-20,1.1425,0.7427,0.3998
2005-04-21,1.6374,0.9216,0.7158
2005-04-22,2.449,1.2271,1.2219
2005-04-25,3.3658,1.6548,1.711
2005-04-26,3.8545,2.0948,1.7597
2005-04-27,4.2347,2.5228,1.7119
2005-04-28,4.4711,2.9124,1.5587
2005-04-29,4.6274,3.2554,1.3719
2005-05-02,4.7887,3.5621,1.2266
2005-05-03,5.0165,3.853,1.1636
2005-05-04,5.2303,4.1284,1.1019
2005-05-05,5.2774,4.3582,0.9191
2005-05-06,5.2957,4.5457,0.75
2005-05-09,5.1697,4.6705,0.4992
2005-05-10,5.0833,4.7531,0.3302
2005-05-11,5.0973,4.8219,0.2754
2005-05-12,4.9474,4.847,0.1004
2005-05-13,4.7943,4.8365,-0.0422
2005-05-16,4.6922,4.8076,-0.1154
2005-05-17,4.6419,4.7745,-0.1326
2005-05-18,4.7909,4.7777,0.0131
2005-05-19,4.8538,4.793,0.0608
2005-05-20,4.945,4.8234,0.1216
2005-05-23,5.5138,4.9615,0.5524
2005-05-24,5.9187,5.1529,0.7658
2005-05-25,6.3609,5.3945,0.9664
2005-05-26,6.5704,5.6297,0.9407
2005-05-27,6.9317,5.8901,1.0417
2005-05-31,7.5868,6.2294,1.3573
2005-06-01,8.4428,6.6721,1.7707
2005-06-02,9.0133,7.1403,1.8729
2005-06-03,9.0518,7.5226,1.5292
2005-06-06,9.4062,7.8993,1.5068
2005-06-07,9.6639,8.2522,1.4116
2005-06-08,9.2131,8.4444,0.7687
2005-06-09,9.025,8.5605,0.4644
2005-06-10,8.6223,8.5729,0.0494
2005-06-13,8.2186,8.502,-0.2835
2005-06-14,7.6325,8.3281,-0.6956
2005-06-15,6.9444,8.0514,-1.107
2005-06-16,6.4317,7.7274,-1.2957
2005-06-17,6.0712,7.3962,-1.325
2005-06-20,5.9756,7.1121,-1.1365
2005-06-21,5.8782,6.8653,-0.9871
2005-06-22,5.7934,6.6509,-0.8576
2005-06-23,5.6773,6.4562,-0.7789
2005-06-24,5.8233,6.3296,-0.5063
2005-06-27,6.1454,6.2928,-0.1474
2005-06-28,6.2437,6.2829,-0.0393
2005-06-29,5.8782,6.202,-0.3238
2005-06-30,5.5822,6.078,-0.4959
2005-07-01,5.1706,5.8965,-0.726
2005-07-05,4.9676,5.7107,-0.7432
2005-07-06,4.5845,5.4855,-0.901
2005-07-07,4.3928,5.267,-0.8742
2005-07-08,4.2201,5.0576,-0.8375
2005-07-11,3.9215,4.8304,-0.9089
2005-07-12,3.5802,4.5803,-1.0001
2005-07-13,3.5551,4.3753,-0.8202
2005-07-14,3.5762,4.2155,-0.6393
2005-07-15,3.5639,4.0852,-0.5212
2005-07-18,3.4477,3.9577,-0.51
2005-07-19,3.7318,3.9125,-0.1807
2005-07-20,3.9959,3.9292,0.0667
2005-07-21,4.2349,3.9903,0.2446
2005-07-22,3.9122,3.9747,-0.0625
2005-07-25,3.3527,3.8503,-0.4976
2005-07-26,2.8858,3.6574,-0.7716
2005-07-27,2.5207,3.4301,-0.9094
2005-07-28,2.0686,3.1578,-1.0891
2005-07-29,1.4613,2.8185,-1.3572
2005-08-01,1.1228,2.4793,-1.3566
2005-08-02,1.1481,2.2131,-1.065
2005-08-03,1.0792,1.9863,-0.9071
2005-08-04,1.0301,1.7951,-0.765
2005-08-05,0.7647,1.589,-0.8243
2005-08-08,0.504,1.372,-0.868
2005-08-09,0.3068,1.1589,-0.8521
2005-08-10,-0.0868,0.9098,-0.9966
2005-08-11,-0.4595,0.6359,-1.0954
2005-08-12,-0.5193,0.4049,-0.9242
2005-08-15,-0.7891,0.1661,-0.9552
2005-08-16,-0.9255,-0.0522,-0.8733
2005-08-17,-1.0439,-0.2506,-0.7933
2005-08-18,-1.3291,-0.4663,-0.8629
2005-08-19,-1.5371,-0.6804,-0.8566
2005-08-22,-1.9221,-0.9288,-0.9934
2005-08-23,-1.9791,-1.1388,-0.8402
2005-08-24,-1.8815,-1.2874,-0.5941
2005-08-25,-1.7828,-1.3865,-0.3963
2005-08-26,-1.6456,-1.4383,-0.2073
2005-08-29,-1.3244,-1.4155,0.0911
2005-08-30,-1.1049,-1.3534,0.2485
2005-08-31,-0.9712,-1.277,0.3058
2005-09-01,-0.8454,-1.1906,0.3453
2005-09-02,-0.6491,-1.0823,0.4332
2005-09-06,-0.5416,-0.9742,0.4326
2005-09-07,-0.1406,-0.8075,0.6668
2005-09-08,0.1959,-0.6068,0.8027
2005-09-09,0.6053,-0.3644,0.9697
2005-09-12,1.3453,-0.0224,1.3677
2005-09-13,1.9874,0.3795,1.6078
2005-09-14,2.1205,0.7277,1.3928
2005-09-15,2.1854,1.0192,1.1661
2005-09-16,2.1145,1.2383,0.8762
2005-09-19,2.1785,1.4263,0.7522
2005-09-20,2.3687,1.6148,0.7539
2005-09-21,2.6503,1.8219,0.8284
2005-09-22,2.8196,2.0214,0.7981
2005-09-23,3.0797,2.2331,0.8466
2005-09-26,3.2052,2.4275,0.7777
2005-09-27,3.2533,2.5927,0.6607
2005-09-28,2.9363,2.6614,0.2749
2005-09-29,2.7994,2.689,0.1104
2005-09-30,2.9338,2.738,0.1958
2005-10-03,3.0945,2.8093,0.2852
2005-10-04,2.8779,2.823,0.0549
2005-10-05,2.6638,2.7911,-0.1274
2005-10-06,2.5473,2.7424,-0.1951
2005-10-07,2.4366,2.6812,-0.2446
2005-10-10,2.2285,2.5907,-0.3622
2005-10-11,1.858,2.4441,-0.5862
2005-10-12,1.3413,2.2235,-0.8823
2005-10-13,0.7799,1.9348,-1.1549
2005-10-14,0.2792,1.6037,-1.3245
2005-10-17,0.2383,1.3306,-1.0924
2005-10-18,0.1346,1.0914,-0.9568
2005-10-19,0.2687,0.9269,-0.6581
2005-10-20,0.1507,0.7716,-0.6209
2005-10-21,1.5249,0.9223,0.6026
2005-10-24,2.9342,1.3247,1.6095
2005-10-25,3.9353,1.8468,2.0885
2005-10-26,5.0161,2.4806,2.5354
2005-10-27,5.7105,3.1266,2.5839
2005-10-28,6.3939,3.7801,2.6138
2005-10-31,7.4154,4.5071,2.9082
2005-11-01,8.4209,5.2899,3.131
2005-11-02,9.1247,6.0568,3.0678
2005-11-03,9.823,6.8101,3.0129
2005-11-04,10.4374,7.5355,2.9018
2005-11-07,10.9838,8.2252,2.7586
2005-11-08,11.0815,8.7964,2.2851
2005-11-09,10.6017,9.1575,1.4442
2005-11-10,10.5831,9.4426,1.1405
2005-11-11,10.4199,9.6381,0.7818
2005-11-14,10.4361,9.7977,0.6384
2005-11-15,10.1631,9.8708,0.2923
2005-11-16,10.0474,9.9061,0.1413
2005-11-17,10.0543,9.9357,0.1186
2005-11-18,9.8155,9.9117,-0.0962
2005-11-21,9.8826,9.9059,-0.0232
2005-11-22,10.1071,9.9461,0.161
2005-11-23,10.4234,10.0416,0.3818
2005-11-25,10.7829,10.1898,0.5931
2005-11-28,10.7361,10.2991,0.437
2005-11-29,9.7792,10.1951,-0.4159
2005-11-30,8.973,9.9507,-0.9777
2005-12-01,8.6063,9.6818,-1.0755
2005-12-02,8.3653,9.4185,-1.0532
2005-12-05,7.6071,9.0562,-1.4491
2005-12-06,6.8739,8.6198,-1.7458
2005-12-07,6.2084,8.1375,-1.9291
2005-12-08,5.8735,7.6847,-1.8112
2005-12-09,5.4861,7.245,-1.7589
2005-12-12,5.2566,6.8473,-1.5907
2005-12-13,5.2121,6.5203,-1.3082
2005-12-14,5.1766,6.2515,-1.0749
2005-12-15,5.2326,6.0478,-0.8151
2005-12-16,5.5218,5.9426,-0.4208
2005-12-19,5.4634,5.8467,-0.3834
2005-12-20,5.561,5.7896,-0.2286
2005-12-21,5.4376,5.7192,-0.2816
2005-12-22,5.5075,5.6768,-0.1694
2005-12-23,5.455,5.6325,-0.1774
2005-12-27,5.1001,5.526,-0.4259
2005-12-28,4.846,5.39,-0.544
2005-12-29,4.3299,5.178,-0.848
2005-12-30,3.6647,4.8753,-1.2107
2006-01-03,3.9167,4.6836,-0.7669
2006-01-04,4.47,4.6409,-0.1709
2006-01-05,5.0926,4.7312,0.3614
2006-01-06,6.0993,5.0048,1.0945
2006-01-09,6.8681,5.3775,1.4906
2006-01-10,7.5066,5.8033,1.7033
2006-01-11,7.9962,6.2419,1.7543
2006-01-12,7.9685,6.5872,1.3813
2006-01-13,7.9608,6.8619,1.0989
2006-01-17,7.8985,7.0693,0.8293
2006-01-18,6.8715,7.0297,-0.1582
